263.063	0.965	2.070	0.466
264.566	0.968	1.960	0.494
266.085	0.698	1.856	0.376
267.588	0.821	1.758	0.467
269.090	1.005	1.735	0.579
270.593	0.711	1.657	0.429
272.096	0.653	1.483	0.440
273.599	0.780	1.432	0.545
275.102	0.586	1.344	0.436
276.604	0.339	1.260	0.269
278.107	0.319	1.188	0.269
279.610	0.337	1.127	0.299
281.115	0.362	1.115	0.324
282.617	0.384	0.971	0.396
284.122	0.403	0.916	0.440
285.624	0.414	0.763	0.542
287.127	0.415	0.666	0.623
288.630	0.418	0.563	0.742
290.132	1.427	0.927	1.540
291.634	3.385	2.132	1.588
293.139	4.440	3.036	1.462
294.643	4.320	2.874	1.503
296.153	4.519	1.667	2.712
297.656	4.430	1.123	3.943
299.158	4.404	1.008	4.369
300.661	4.397	1.015	4.331
302.164	4.401	0.984	4.473
303.666	4.394	0.960	4.578
305.169	4.375	0.854	5.124
306.673	4.387	0.846	5.184
308.176	4.367	0.833	5.244
309.678	4.369	0.765	5.713
311.180	4.349	0.817	5.326
312.683	4.398	0.865	5.083
314.186	4.320	0.734	5.886
315.688	4.330	0.706	6.132
