0.001	0.333	0.014	23.717
1.506	0.334	0.007	46.193
3.008	0.333	0.007	46.993
4.510	0.329	0.007	45.463
6.012	0.334	0.007	46.849
7.516	0.337	0.007	46.715
9.020	0.335	0.007	46.763
10.522	0.178	0.004	45.869
12.024	0.008	-0.000	-41.397
13.526	0.008	-0.000	-129.344
15.028	0.008	-0.000	-129.383
16.530	0.336	0.007	46.103
18.032	0.335	0.007	46.433
19.534	0.335	0.007	46.875
21.037	0.334	0.007	46.802
22.540	0.336	0.007	46.086
24.043	0.334	0.007	47.119
25.545	0.332	0.007	44.707
27.048	0.009	-0.000	-34.819
28.550	0.184	0.004	47.394
30.053	0.335	0.007	45.387
31.556	0.013	-0.000	-754.590
33.058	0.091	0.002	45.339
34.560	0.334	0.007	45.505
36.061	0.335	0.008	44.138
37.564	0.336	0.007	47.442
39.072	0.334	0.007	46.904
40.574	0.333	0.007	47.482
42.083	0.334	0.007	46.595
43.585	0.334	0.007	46.571
45.094	0.336	0.007	47.321
46.597	0.336	0.007	47.393
48.106	0.335	0.007	47.372
49.607	0.335	0.007	46.596
51.121	0.333	0.007	47.253
52.623	0.332	0.007	46.755
54.124	0.333	0.007	46.924
55.625	0.334	0.007	46.806
57.127	0.332	0.007	47.350
58.629	0.333	0.007	47.663
60.130	0.332	0.007	47.632
61.633	0.334	0.007	46.634
63.135	0.332	0.007	46.652
64.637	0.333	0.007	46.858
66.139	0.332	0.007	46.890
67.641	0.333	0.007	47.115
69.143	0.335	0.007	46.029
70.645	0.334	0.007	47.678
72.146	0.334	0.007	46.269
73.648	0.332	0.007	47.112
75.150	0.332	0.007	47.350
76.651	0.334	0.007	47.009
78.152	0.333	0.007	46.957
79.655	0.334	0.007	47.177
81.156	0.333	0.007	47.193
82.658	0.331	0.007	47.192
84.160	0.334	0.007	47.442
85.662	0.333	0.007	46.793
87.164	0.334	0.007	47.198
88.665	0.332	0.007	47.189
90.166	0.334	0.007	47.058
91.667	0.333	0.007	47.601
93.168	0.334	0.007	47.328
94.670	0.331	0.007	47.681
96.173	0.331	0.007	47.059
97.677	0.332	0.007	46.645
99.188	0.333	0.007	47.143
100.690	0.334	0.007	46.970
102.193	0.333	0.007	47.289
103.696	0.334	0.007	47.110
105.201	0.334	0.007	47.348
106.704	0.333	0.007	47.199
108.207	0.334	0.007	47.077
109.712	0.334	0.007	47.544
111.218	0.333	0.007	47.677
112.721	0.334	0.007	47.287
114.223	0.333	0.007	47.861
115.725	0.334	0.007	47.524
117.254	0.334	0.007	46.774
118.757	0.333	0.007	47.450
120.260	0.335	0.007	47.482
121.766	0.334	0.007	47.091
123.266	0.334	0.007	47.717
124.768	0.335	0.007	47.827
126.270	0.334	0.007	47.267
127.771	0.335	0.007	47.786
129.276	0.335	0.007	47.460
