85.55	820422	825826	802910	822543	825321	804693
85.55	822309	826470	805543	823284	823130	800109
85.55	822855	824732	803181	824456	825757	803214
85.55	823326	825724	803891	823236	824099	805836
85.55	825102	826910	804618	823941	827712	803239
85.55	824091	826357	806014	820384	826720	804298
85.55	823355	827899	805618	822436	826889	802164
85.55	824795	825312	803941	824145	824229	806743
85.55	827064	824505	804438	823237	825312	803000
85.55	823951	826990	802428	819259	823308	803758
85.55	825943	827598	806099	822298	826209	804802
85.55	823053	824820	802571	824696	824573	806087
85.55	827064	827507	804926	824574	829510	805507
85.55	824638	824067	804143	821349	825690	803955
85.55	822751	827937	805205	824347	827330	804880
85.55	821925	826578	803308	822369	821866	803399
85.55	827847	828557	804881	826773	824779	804214
85.55	824531	826082	806054	827882	825615	806509
85.55	825486	828955	805675	823294	827507	804330
85.55	824751	825752	805269	823614	824115	804159
85.55	828195	826837	805625	824344	825876	804082
85.55	823755	825805	803969	823417	825671	804887
85.55	823614	824989	803626	823647	826246	804518
85.55	824725	824501	804078	823328	824845	805764
85.55	826035	825528	803697	827255	828044	807013
85.55	822015	830796	805251	824656	827370	805017
85.55	824120	826065	803901	822254	822814	803332
85.55	823861	827284	803510	823459	830245	804805
85.55	819967	821200	801184	825109	826670	803925
85.55	821490	824649	804857	826564	827389	806088
85.55	825540	825725	806347	823325	826527	803080
85.55	826668	831246	807390	822638	826160	805217
85.55	824226	827161	805288	823129	824298	804953
85.55	821875	826698	802360	824356	829373	807656
85.55	823387	827874	805705	825113	824698	803816
85.55	824756	827567	806937	826402	827626	805010
85.55	824113	826002	806199	823116	825509	804133
85.55	824436	824673	804091	824644	826859	804305
85.55	823148	826555	803770	824784	828047	803970
85.55	826877	828078	806018	825619	827525	804960
85.55	823907	827697	804068	825341	829058	806564
85.55	826743	826154	804315	825677	826979	805278
85.55	826875	828168	804046	821852	825738	806472
85.55	823294	823736	804784	823179	829704	805084
85.55	826712	830729	804801	826286	828269	804077
85.55	826891	824750	805913	819891	826085	805582
85.55	827792	826937	803601	827223	832456	805969
85.55	823651	825656	803644	826382	830648	804959
85.55	825238	827256	804809	828535	828998	804543
85.55	824996	829173	804815	825758	824561	803968
85.55	821300	822792	801862	826482	826379	805319
85.55	822544	827024	805828	822731	827070	802861
85.55	821482	826053	803718	825431	825990	804165
85.55	824831	825765	802091	824018	827391	805325
85.55	821899	824563	803468	826485	822770	803108
85.55	825926	827105	805168	824576	826201	804491
85.55	823909	828504	803791	821637	825852	803302
85.55	824799	826569	805688	824047	829138	804157
85.55	824371	825057	802467	822779	825658	804715
85.55	823128	826687	802551	827515	829065	806524
85.55	825616	827436	805662	823538	825735	805088
85.55	826278	827740	804407	825307	830138	807436
85.55	825229	825772	805257	826706	826630	806093
85.55	822915	825029	803420	823774	827464	803144
85.55	821787	824245	802748	823596	827704	804047
85.55	825200	825266	804914	825307	825267	803989
85.55	823466	824594	804156	825778	827484	804670
85.55	824721	826499	806810	823289	829487	803860
85.55	827787	828064	804539	826209	826750	802389
85.55	822965	828445	804825	825944	829340	804966
85.55	826007	827158	805357	825474	824417	802745
85.55	821429	826985	803562	826512	828303	804249
85.55	825716	827978	804087	821268	826851	805137
85.55	824769	830004	803864	824211	828877	804181
85.55	825941	824027	803024	827910	828311	805744
85.55	826356	825331	804446	824729	827440	804381
85.55	828200	823427	805449	821845	825442	804081
85.55	824346	828994	805375	822957	827275	805861
85.55	827310	825834	803733	828415	828197	806006
85.55	823981	830124	804856	825508	827568	804639
85.55	825321	823665	803650	828058	827541	804697
85.55	824479	826839	804272	827380	831915	807598
85.55	825038	829040	805322	824227	826800	803625
85.55	825838	827056	805331	827385	825778	804153
85.55	827625	826918	803773	828642	829203	806328
85.55	824223	828688	803329	824553	826453	804618
85.55	828492	828666	805469	825433	829753	806038
85.55	822297	827435	803757	825141	826880	804379
85.55	822237	826487	803362	822285	828669	804151
85.55	819222	829417	804417	827309	829203	805446
85.55	825728	826335	804504	825099	824743	803912
85.55	822917	828129	803728	824108	826519	804574
85.55	827937	826663	803695	824259	825747	803082
85.55	826378	826585	803986	823761	827208	803644
85.55	825977	824826	803907	823641	827076	802227
85.55	824602	824042	804403	825188	827404	805747
85.55	824452	828379	805175	825806	830313	805761
85.55	824252	825397	801579	824395	827353	804698
85.55	823228	827521	804343	825077	827410	805774
85.55	823982	823610	801863	824247	824138	804485
85.5525	826796	827634	804011	828820	827374	805730
85.5525	824387	825576	802628	827910	828363	807007
85.5525	825152	828621	804114	823388	827264	805482
85.5525	827013	827726	806246	824292	826658	804988
85.5525	826021	824485	805776	825404	822841	805848
85.5525	825043	826593	806170	826659	826159	806800
85.5525	823877	826063	804248	822820	828006	803578
85.5525	823319	828261	804877	824666	826834	802205
85.5525	827329	830678	806472	825066	829869	806583
85.5525	823921	823813	804048	827901	806723	806193
85.5525	823223	825228	803763	825065	826453	803739
85.5525	824368	825326	802883	825424	827876	805282
85.5525	827210	827694	804962	828080	826542	805663
85.5525	827032	826765	803160	831041	808177	806771
85.5525	826104	827502	804676	822553	823937	803890
85.5525	826449	823332	804069	826548	827795	803491
85.5525	825451	825734	805305	823351	827044	804264
85.5525	825210	830615	805559	824018	823870	803471
85.5525	822213	825668	804020	825803	825649	805087
85.5525	826247	826456	803559	824392	827014	802695
85.5525	824424	826949	805773	822645	825639	803178
85.5525	828207	827837	804103	823936	830794	805206
85.5525	826522	827818	806038	823861	827091	806638
85.5525	827086	825951	802873	825677	827682	805526
85.5525	827921	827999	805162	826861	827457	804349
85.5525	831208	826988	804802	828560	827374	803918
85.5525	824103	824976	803766	827506	827713	804647
85.5525	826022	826381	802799	822133	826247	800552
85.5525	827614	827009	803225	827246	828866	804221
85.5525	826302	827550	804653	823210	822510	803031
85.5525	825190	826566	802747	824317	827030	802552
85.5525	825357	825740	802497	826555	826397	806052
85.5525	825547	825514	805136	825401	825523	804694
85.5525	822624	825556	803748	805340	826244	805905
85.5525	823647	828851	805472	826680	829615	805141
85.5525	829074	828610	803996	827650	829193	805794
85.5525	823035	827238	804760	827011	825635	802927
85.5525	824658	830235	806045	827148	826925	804963
85.5525	823988	825177	804482	828306	826512	805316
85.5525	827211	831330	804833	823137	828563	804935
85.5525	827484	825788	804777	823085	826745	802254
85.5525	821903	828097	803016	824057	828331	802856
85.5525	826793	827058	806286	826123	828001	806150
85.5525	824902	829975	806662	823425	826250	804432
85.5525	823827	825772	805307	826166	824190	805068
85.5525	824150	824363	804534	826345	825964	804783
85.5525	828704	826986	806386	822701	826067	801995
85.5525	825272	824032	805685	823378	826065	803225
85.5525	824181	824978	803987	820710	824159	802524
85.5525	825773	827968	803540	828247	828918	807520
85.5525	827040	826675	804298	824070	827684	802370
85.5525	826599	829269	805850	826536	830066	804773
85.5525	824270	825416	804917	822837	823949	802391
85.5525	825774	827718	804520	825316	826913	805219
85.5525	822266	825448	807568	823471	805771	805864
85.5525	823266	824238	803978	825284	826630	804399
85.5525	828614	826238	804270	825372	825942	804914
85.5525	825848	823778	805188	826379	831312	806876
85.5525	825003	826702	804555	823384	825145	801858
85.5525	823214	829266	803426	826336	826168	806028
85.5525	822655	825782	803520	826909	828396	804655
85.5525	825406	823767	805561	823900	828523	804241
85.5525	825228	826226	803466	824892	827633	805434
85.5525	821559	827406	804651	825475	824114	803051
85.5525	825007	826488	803892	827016	827733	805573
85.5525	827331	823428	805482	803887	827243	802210
85.5525	824086	827494	807185	824742	805854	806071
85.5525	825268	825739	804996	822496	823701	805481
85.5525	824671	828394	806099	826949	828834	807997
85.5525	826398	828782	805422	825132	829293	804552
85.5525	823084	823637	802541	826554	828193	806927
85.5525	825214	829208	806026	828900	824951	805231
85.5525	822106	824980	804093	823548	825750	803787
85.5525	824875	827072	805369	826864	824091	804914
85.5525	826109	828338	805253	827119	808006	806200
85.5525	825061	825455	803944	823763	826564	804882
85.5525	824712	826888	803099	822083	826732	803837
85.5525	821867	823883	803108	825693	825808	805322
85.5525	823985	827186	806172	825479	827396	802719
85.5525	822863	827348	802470	827514	833289	807977
85.5525	826716	825327	805126	823666	826617	804961
85.5525	823286	825440	803599	827870	828841	803974
85.5525	823419	826759	803807	826930	829337	806449
85.5525	827152	824393	804697	805082	827028	803796
85.5525	823492	822666	803865	823768	826854	805885
85.5525	824724	824836	803891	825782	829545	805711
85.5525	827073	828000	806291	822296	825334	804462
85.5525	823816	824061	802451	824346	824535	804575
85.5525	823099	823680	803346	823674	825774	805982
85.5525	824232	826835	804649	821604	823789	802411
85.5525	823903	823887	803105	821301	824808	804008
85.5525	825185	824855	804299	827580	830477	805356
85.5525	827905	827270	804768	822813	825527	804773
85.5525	823301	825641	804432	821588	826028	804040
85.5525	820674	822666	803198	823907	826287	804221
85.5525	819249	821959	805222	824389	828017	807093
85.5525	820473	823180	802898	823353	827505	807413
85.5525	823466	829107	803166	822328	829758	804003
85.5525	823103	823921	804433	825942	827948	805961
85.5525	826351	826336	805120	818483	820475	803745
85.555	820992	825422	804370	824559	824169	805946
85.555	825200	829025	805820	822059	822858	803336
85.555	826383	824946	803236	817653	817883	803080
85.555	819529	820574	805670	822424	825501	804573
85.555	822595	828913	804475	825844	827004	804826
85.555	822567	825412	804932	806440	805971	805785
