85.13	808883	813966	802458	801641	802652	812110	816383	802387	803004	803657
85.13	815564	819706	805512	804599	804924	814106	816691	802619	803191	805073
85.13	816366	822079	805133	804775	804241	815932	818846	803429	803490	806024
85.13	817501	821460	805769	804944	806084	815775	818560	804796	805528	805591
85.13	813687	816551	805966	804324	805286	813542	816024	802699	803168	802165
85.13	815060	816974	805125	805048	803722	815048	815728	802596	802596	802649
85.13	814995	816747	804366	803804	804102	815631	815724	804234	804329	802956
85.13	816285	815675	805313	804985	805537	812373	815873	801842	800380	801499
85.13	815545	822835	806410	807059	806951	814064	818097	803356	805156	805345
85.13	812174	816614	801897	804662	803697	814344	819475	804472	803885	804301
85.13	815727	818921	805163	804881	803716	813653	817980	804104	803386	803976
85.13	817806	820737	803986	804921	804429	817543	817371	803128	802134	803283
85.13	816094	817356	803378	804529	804255	813192	815602	803257	802314	803089
85.13	816636	818012	803670	804547	804748	812662	816316	802208	805584	802917
85.13	817061	817336	804935	803739	803881	814951	817077	801209	801555	803166
85.13	815100	819957	804541	803634	804778	814271	816069	802652	802439	803533
85.13	815057	819786	804956	804270	803586	814197	817198	803900	804112	804019
85.13	814877	817983	803992	803215	802616	815280	820579	803320	803156	803392
85.13	812176	816932	803738	805113	802241	816680	821695	805210	803403	803623
85.13	815436	818825	805659	805437	806003	816917	819290	803244	803355	804642
85.13	814359	819953	803252	803109	803361	814179	818337	803769	805398	805141
85.13	817319	821025	805958	805967	805533	814735	821902	803972	804212	805172
85.13	814751	820553	806009	803793	807456	814363	818295	803847	803218	803444
85.13	813655	820098	806090	804679	805610	814822	819385	803874	803987	803313
85.13	814567	819539	804758	805062	804166	815294	818860	803972	804748	804088
85.13	814679	819126	805389	805585	804349	815015	818870	803102	804238	805674
85.13	817740	819082	803633	804816	805346	818606	819862	804065	804085	804915
85.13	816463	818788	803590	803348	803747	815472	817020	803976	802616	803165
85.13	815852	820991	803169	801772	803956	817790	818415	804657	804608	804688
85.13	814738	821287	804216	804684	805208	818594	822814	804688	803682	806919
85.13	811997	815190	806010	805681	803556	804437	805940	824340	818888	805375
85.13	813272	818259	803065	802864	803061	815533	824506	802754	803874	802777
85.13	814743	818987	802650	804511	803078	813521	823253	803644	804358	803349
85.13	816176	819711	804362	805501	806021	815740	818954	803294	803432	804127
85.13	812968	819768	804990	804519	803783	814308	818824	804400	802148	802956
85.13	813397	820172	802732	803726	804313	815386	818626	801932	803464	802264
85.13	813626	816858	802779	801988	802814	815052	818809	803628	804661	803971
85.13	817478	820033	806664	807739	806769	816109	816135	806007	804860	804267
85.13	814337	820491	804505	804173	804899	814506	820149	806810	804206	804492
85.13	816342	819527	802872	803950	803799	816569	819394	804087	806885	804504
85.13	817120	820976	804355	804585	803208	814354	821206	803546	803138	804577
85.13	816429	820335	804064	804061	803432	818116	820453	807203	806305	804346
85.13	815060	820615	804421	805729	804908	818524	820469	806531	805778	805571
85.13	817424	817442	804277	805701	804224	816618	818633	803267	805150	806144
85.13	814154	815828	803071	804628	804045	815821	816530	804919	803158	802844
85.13	814031	819680	804683	803482	804867	810531	816092	802665	801609	802152
85.13	814397	815978	803796	803028	805125	814033	818560	805630	806495	804308
85.13	816101	819280	805984	805468	806319	814437	818994	805402	806691	807225
85.13	813397	817220	801885	802933	802878	812706	818555	804192	803231	801964
85.13	814104	819265	804961	803748	804878	815507	819111	805481	804729	805580
85.13	812849	820540	804494	803760	803523	816084	818548	805545	803761	804891
85.13	812679	817887	803699	803851	803906	816065	819061	804416	804637	804374
85.13	813769	815272	805022	804726	803495	813837	820887	804048	803644	804853
85.13	816699	819647	806958	806299	806490	811984	813832	803614	801264	803837
85.13	815249	818549	806175	804286	806412	815239	818929	805772	804283	804347
85.13	815374	820956	806325	806065	804820	813755	818137	804204	804789	804945
85.13	811896	816589	805106	803976	803916	816088	817444	804940	805322	805718
85.13	813716	816090	803768	803631	804120	815926	821417	805932	804888	805746
85.13	814887	815619	803026	803310	803184	814328	821146	803299	806189	805087
85.13	814045	817951	804175	804783	804104	814811	817035	802994	804262	803931
85.13	813212	817844	803186	803976	805389	810900	819013	804731	805277	804736
85.13	813367	820402	804116	804477	804133	815461	818931	804124	804462	805191
85.13	816501	820487	804974	805051	803869	816089	818961	805565	807446	804488
