86.3	818270	806159	814401	805825	815246	804441	812924	804320
86.3	815083	804019	811434	803562	815226	802840	812055	802373
86.3	811353	802703	812077	801532	812096	801986	813110	802822
86.3	813659	804475	812655	803532	816244	806300	815535	805405
86.3	816717	804224	812961	806404	814401	803105	812936	802593
86.3	816218	806357	813951	805603	812128	804459	814590	803205
86.3	812453	804586	813956	802465	811964	803558	811283	802309
86.3	812648	804037	813470	802276	812277	803633	812603	802919
86.3	815745	805964	815082	804665	815731	805968	812366	804005
86.3	816476	804955	816386	804677	812523	803129	814921	803930
86.3	814041	803701	813331	803155	813543	804396	813617	803986
86.3	818055	804163	813287	803308	812033	801970	810508	801756
86.3	813986	804262	813417	802583	815828	806495	815148	805234
86.3	816370	805879	816865	806035	814987	803643	810638	804034
86.3	818089	807383	815138	805244	815234	804841	813448	803956
86.3	817997	805882	814260	802730	812335	804314	814001	801964
86.3	814730	805671	816082	806349	813769	804577	810900	802786
86.3	814319	803288	811658	804154	815607	805016	812077	804558
86.3	814691	804892	813534	803294	814601	802839	811377	803702
86.3	815768	804103	813727	804642	815516	802806	811321	803255
86.3	813013	802484	810611	801528	815244	802407	812182	803104
86.3	813925	805354	812368	803543	813347	804522	811628	805443
86.3	814515	803383	812078	803456	815036	804068	813667	803917
86.3	813863	802291	813582	801799	815733	803410	813342	803798
86.3	812375	804590	814741	804351	814642	804554	813647	804008
86.3	812784	803180	812454	802834	813845	805659	815396	803631
86.3	813481	801593	811727	802949	811779	803174	811763	803164
86.3	815501	806547	814024	805793	812468	802075	811806	803446
86.3	814200	804408	814313	804788	816547	803622	812359	804033
86.3	816052	804279	812419	804307	813472	803336	813406	803469
86.3	813571	803032	810613	803601	811839	802705	811627	804083
86.3	814340	805407	815271	803765	812196	801254	810111	800534
86.3	812865	802358	811378	802052	811847	803688	810192	803273
86.3	816791	802624	813281	803218	812308	803377	811338	802506
86.3	813730	804478	811814	803719	814270	805884	805017	803410
86.3	816762	806762	817158	805759	810045	803383	812700	802594
86.3	816306	806010	815845	805404	812445	802857	812690	803480
86.3	813635	804899	814444	804106	816239	805386	811924	804490
86.3	815543	805335	811785	803785	813311	806029	814945	803823
