9000000.000	0.560
9050000.000	0.680
9100000.000	0.670
9150000.000	0.560
9200000.000	0.670
9250000.000	0.620
9300000.000	0.640
9350000.000	0.630
9400000.000	0.500
9450000.000	0.610
9500000.000	0.690
9550000.000	0.510
9600000.000	0.570
9650000.000	0.640
9700000.000	0.560
9750000.000	0.600
9800000.000	0.600
9850000.000	0.640
9900000.000	0.640
9950000.000	0.560
10000000.000	0.580
10050000.000	0.580
10100000.000	0.560
10150000.000	0.650
10200000.000	0.660
10250000.000	0.670
10300000.000	0.750
10350000.000	0.620
10400000.000	0.650
10450000.000	0.670
10500000.000	0.650
10550000.000	0.750
10600000.000	0.590
10650000.000	0.620
10700000.000	0.600
10750000.000	0.520
10800000.000	0.590
10850000.000	0.600
10900000.000	0.690
10950000.000	0.590
11000000.000	0.580
11050000.000	0.600
11100000.000	0.610
11150000.000	0.640
11200000.000	0.710
11250000.000	0.690
11300000.000	0.690
11350000.000	0.720
11400000.000	0.570
11450000.000	0.710
11500000.000	0.650
11550000.000	0.700
11600000.000	0.570
11650000.000	0.650
11700000.000	0.340
