0.125	0.000	0.000
2.031	0.000	0.000
4.203	0.000	0.000
6.531	0.000	0.000
8.859	0.000	0.000
10.828	0.000	0.000
13.187	0.000	0.000
15.484	0.000	0.000
17.391	0.000	0.000
19.578	0.000	0.000
0.000	203.000	135.000
1.922	194.000	121.000
3.797	201.000	149.000
5.672	216.000	99.000
7.687	184.000	99.000
9.578	215.000	143.000
11.453	156.000	162.000
13.484	207.000	168.000
15.391	208.000	133.000
17.266	253.000	142.000
0.047	204.000	115.000
1.937	231.000	190.000
3.703	215.000	153.000
5.469	227.000	124.000
7.281	171.000	163.000
9.047	181.000	152.000
10.812	200.000	122.000
12.578	218.000	146.000
14.344	193.000	117.000
16.281	201.000	106.000
0.031	0.000	0.000
1.344	0.000	0.000
2.953	0.000	0.000
4.172	0.000	0.000
5.406	0.000	0.000
6.641	0.000	0.000
8.219	0.000	0.000
9.469	0.000	0.000
10.719	0.000	0.000
12.266	0.000	0.000
0.312	0.000	0.000
1.531	0.000	0.000
2.828	0.000	0.000
4.406	0.000	0.000
5.672	0.000	0.000
6.937	0.000	0.000
8.500	0.000	0.000
9.781	0.000	0.000
11.016	0.000	0.000
12.656	0.000	0.000
0.000	51.000	35.000
1.469	55.000	35.000
2.734	43.000	41.000
4.000	33.000	33.000
5.266	30.000	30.000
6.656	43.000	38.000
7.953	57.000	38.000
9.234	55.000	25.000
10.500	61.000	39.000
11.875	34.000	36.000
0.078	0.000	0.000
1.797	0.000	0.000
3.109	0.000	0.000
4.687	0.000	0.000
5.922	0.000	0.000
7.172	0.000	0.000
8.422	0.000	0.000
9.953	0.000	0.000
11.172	0.000	0.000
0.000	42.000	38.000
1.266	68.000	40.000
2.531	66.000	37.000
0.047	52.000	33.000
1.312	71.000	26.000
2.578	53.000	35.000
4.031	47.000	33.000
5.297	60.000	34.000
6.562	53.000	33.000
7.828	57.000	36.000
9.234	63.000	34.000
10.516	62.000	23.000
11.797	56.000	26.000
13.062	52.000	39.000
14.469	61.000	45.000
15.750	52.000	33.000
17.016	56.000	34.000
18.281	55.000	33.000
19.703	53.000	41.000
20.969	59.000	36.000
22.219	61.000	34.000
23.484	59.000	27.000
24.922	61.000	24.000
0.016	32.000	28.000
1.484	45.000	32.000
2.750	52.000	34.000
4.000	33.000	30.000
5.266	27.000	36.000
6.703	31.000	24.000
7.969	35.000	26.000
9.234	24.000	37.000
10.484	36.000	24.000
11.891	27.000	29.000
13.203	32.000	36.000
14.453	41.000	28.000
15.719	36.000	31.000
17.141	32.000	29.000
18.406	30.000	24.000
19.672	27.000	33.000
20.937	29.000	33.000
22.328	26.000	49.000
23.625	23.000	34.000
24.891	30.000	32.000
0.062	0.000	0.000
1.453	0.000	0.000
2.687	0.000	0.000
0.109	6714.000	45.000
1.391	67.000	31.000
2.656	58.000	32.000
3.922	29.000	31.000
5.344	64.000	37.000
0.078	0.000	0.000
1.312	0.000	0.000
2.547	0.000	0.000
3.766	0.000	0.000
0.016	64.000	46.000
1.391	80.000	41.000
2.703	37.000	40.000
3.969	71.000	25.000
5.234	78.000	35.000
6.609	36.000	24.000
7.937	83.000	33.000
9.203	67.000	33.000
10.453	77.000	34.000
11.844	25.000	31.000
13.156	72.000	34.000
14.422	43.000	22.000
15.687	66.000	30.000
17.062	67.000	32.000
18.375	30.000	28.000
19.641	71.000	33.000
20.906	62.000	41.000
22.281	65.000	22.000
23.594	75.000	43.000
24.859	70.000	30.000
0.016	50.000	32.000
1.359	52.000	37.000
2.625	59.000	24.000
3.891	56.000	34.000
5.266	51.000	32.000
6.578	62.000	36.000
7.844	54.000	32.000
9.109	76.000	36.000
10.484	52.000	36.000
11.797	44.000	39.000
13.062	60.000	32.000
14.328	71.000	32.000
15.672	79.000	33.000
17.016	61.000	43.000
